angle_deg,sum_m_db,diff_m_db,sum_s_db,diff_s_db
-29,-27.71736223,-17.77000336,-30.967114828291127,-16.562380704898768
-29,-27.71736223,-17.77000336,-25.826916306071904,-17.770003100143153
-28,-26.64015472,-19.4611054,-23.53602362364331,-21.269648839906615
-27,-24.26038855,-26.84906426,-22.94646079949072,-31.885784680627218
-26,-23.95962196,-27.00084381,-23.959621279125386,-27.000844529132625
-25,-29.55203874,-18.95105328,-27.270951253910397,-18.951053210411576
-24,-28.74154422,-17.89250741,-37.46632337957254,-15.524880017008876
-23,-27.54706698,-14.99258718,-33.174568909564194,-14.067583601163909
-21,-21.40798541,-16.34212922,-24.900911731656077,-14.099551130969768
-21,-21.40798541,-16.34212922,-21.407985246492665,-15.78999552527204
-20,-18.38347091,-20.37503478,-19.960530221382,-20.37503449462605
-19,-19.27759565,-23.32840042,-20.116064731384014,-45.52744913778209
-18,-22.19760147,-19.44329813,-22.19760202593267,-20.2987388730365
-17,-26.29812313,-13.377713,-28.307111441776133,-14.228510558776033
-16,-29.0105473,-9.865166696,-36.73574418280166,-11.335008737847293
-14,-18.49387146,-10.06261706,-22.648198329538985,-10.126396094991927
-14,-18.49387146,-10.06261706,-17.792643262007385,-10.343778201053011
-13,-14.32896439,-13.62364299,-15.459716623821553,-12.330454561874511
-12,-13.11625122,-19.46810504,-14.830712435888964,-18.0006550957668
-10,-21.0956591,-12.82330459,-16.089774877600295,-28.91776956131356
-10,-21.0956591,-12.82330459,-21.095659354053108,-12.823304603141107
-9,-26.42372183,-7.703191033,-31.140228604345843,-7.291407939068735
-8,-18.77580592,-3.13906247,-14.482002308130546,-4.10909993819914
-7,-13.96783558,-2.174852654,-8.229715211599045,-2.1748526930464767
-6,-7.030753079,-1.234243779,-4.255965822738544,-1.1346951022727652
-5,-3.322704111,-0.963783958,-1.4346409561086149,-0.8672703307176398
-4,0.901226982,-1.630895531,0.6282967336979993,-1.379734429434638
-3,1.463804336,-1.988181796,2.1164997484778496,-2.816692830122874
-2,2.469081984,-5.602588907,3.1276940679172185,-5.6025888821230225
-1,3.030254297,-11.51082707,3.7160327307355816,-11.189971528922749
0,3.322481572,-52.43931355,3.9092840232614834,-50.0
1,2.918317303,-10.88054727,3.7160327307355816,-11.189971528922749
2,2.272163697,-7.954652349,3.1276940679172185,-5.6025888821230225
3,1.151555286,-4.59934222,2.1164997484778496,-2.816692830122874
4,-0.219767198,-1.379734408,0.6282967336979993,-1.379734429434638
5,-2.295600104,-0.677402074,-1.4346409561086149,-0.8672703307176398
6,-4.115331215,-1.134695123,-4.255965822738544,-1.1346951022727652
7,-7.792835104,-2.174852654,-8.229715211599045,-2.1748526930464767
8,-14.03361165,-3.834676842,-14.482002308130546,-4.10909993819914
9,-35.02461532,-8.056056766,-31.140228604345843,-7.291407939068735
10,-21.0956591,-12.09441803,-21.095659354053108,-12.823304603141107
10,-21.0956591,-12.09441803,-16.089774877600295,-28.91776956131356
12,-15.84581631,-18.00065486,-14.830712435888964,-18.0006550957668
13,-15.9906072,-12.33045451,-15.459716623821553,-12.330454561874511
14,-18.49387146,-10.63434574,-17.792643262007385,-10.343778201053011
14,-18.49387146,-10.63434574,-22.648198329538985,-10.126396094991927
16,-34.88475002,-12.00047351,-36.73574418280166,-11.335008737847293
17,-28.30711217,-20.29873845,-28.307111441776133,-14.228510558776033
18,-22.19760147,-45.52745557,-22.19760202593267,-20.2987388730365
19,-19.27759565,-20.37503478,-20.116064731384014,-45.52744913778209
20,-19.13625701,-14.7810311,-19.960530221382,-20.37503449462605
21,-20.4422745,-13.26070554,-21.407985246492665,-15.78999552527204
21,-20.4422745,-13.26070554,-24.900911731656077,-14.099551130969768
23,-33.17457079,-15.52488003,-33.174568909564194,-14.067583601163909
24,-31.49812985,-17.53369009,-37.46632337957254,-15.524880017008876
25,-27.27095222,-23.786746,-27.270951253910397,-18.951053210411576
26,-23.95962196,-36.2206714,-23.959621279125386,-27.000844529132625
27,-24.26038855,-22.33804642,-22.94646079949072,-31.885784680627218
28,-26.64015472,-18.46933046,-23.53602362364331,-21.269648839906615
29,-27.71736223,-17.16769136,-25.826916306071904,-17.770003100143153
